Subject,Task,Contrast,Gradient,Value
16,Context,Decision_SCB,1,-0.1755
16,Context,Decision_SCB,2,0.3214
16,Context,Decision_SCB,3,0.0689
16,Context,Decision_MCB,1,-0.1519
16,Context,Decision_MCB,2,0.3633
16,Context,Decision_MCB,3,0.0392
19,Semantic,Probe_SCB,1,-0.0181
19,Semantic,Probe_SCB,2,0.077
19,Semantic,Probe_SCB,3,0.1923
19,Semantic,Probe_MCB,1,-0.0181
19,Semantic,Probe_MCB,2,0.0669
19,Semantic,Probe_MCB,3,0.1871
19,Semantic,Dots_SCB,1,0.0922
19,Semantic,Dots_SCB,2,-0.0026
19,Semantic,Dots_SCB,3,0.1572
19,Semantic,Dots_MCB,1,0.089
19,Semantic,Dots_MCB,2,0.0337
19,Semantic,Dots_MCB,3,0.1438
19,Semantic,Decision_SCB,1,-0.1402
19,Semantic,Decision_SCB,2,0.259
19,Semantic,Decision_SCB,3,0.0198
19,Semantic,Decision_MCB,1,-0.1343
19,Semantic,Decision_MCB,2,0.2496
19,Semantic,Decision_MCB,3,0.1176
19,Context,Probe_SCB,1,-0.1219
19,Context,Probe_SCB,2,0.3793
19,Context,Probe_SCB,3,-0.0199
19,Context,Probe_MCB,1,-0.1436
19,Context,Probe_MCB,2,0.3718
19,Context,Probe_MCB,3,-0.004
19,Context,Dots_SCB,1,0.0258
19,Context,Dots_SCB,2,0.1617
19,Context,Dots_SCB,3,-0.0088
19,Context,Dots_MCB,1,-0.0124
19,Context,Dots_MCB,2,0.2188
19,Context,Dots_MCB,3,-0.0874
19,Context,Decision_SCB,1,-0.1483
19,Context,Decision_SCB,2,0.2636
19,Context,Decision_SCB,3,0.0381
19,Context,Decision_MCB,1,-0.0248
19,Context,Decision_MCB,2,0.2265
19,Context,Decision_MCB,3,0.1228
21,Semantic,Probe_SCB,1,-0.2975
21,Semantic,Probe_SCB,2,0.1719
21,Semantic,Probe_SCB,3,-0.0428
21,Semantic,Probe_MCB,1,-0.2387
21,Semantic,Probe_MCB,2,0.1785
21,Semantic,Probe_MCB,3,-0.0624
21,Semantic,Dots_SCB,1,-0.0564
21,Semantic,Dots_SCB,2,0.0181
21,Semantic,Dots_SCB,3,-0.0247
21,Semantic,Dots_MCB,1,-0.0672
21,Semantic,Dots_MCB,2,0.0032
21,Semantic,Dots_MCB,3,0.0297
21,Semantic,Decision_SCB,1,-0.1247
21,Semantic,Decision_SCB,2,0.3152
21,Semantic,Decision_SCB,3,-0.0625
21,Semantic,Decision_MCB,1,-0.178
21,Semantic,Decision_MCB,2,0.3402
21,Semantic,Decision_MCB,3,-0.0465
21,Context,Probe_SCB,1,-0.282
21,Context,Probe_SCB,2,0.2096
21,Context,Probe_SCB,3,0.1378
21,Context,Probe_MCB,1,-0.2571
21,Context,Probe_MCB,2,0.2521
21,Context,Probe_MCB,3,0.1312
21,Context,Dots_SCB,1,-0.087
21,Context,Dots_SCB,2,0.0465
21,Context,Dots_SCB,3,0.1969
21,Context,Dots_MCB,1,-0.0668
21,Context,Dots_MCB,2,0.0117
21,Context,Dots_MCB,3,0.0904
21,Context,Decision_SCB,1,-0.1451
21,Context,Decision_SCB,2,0.3585
21,Context,Decision_SCB,3,-0.0382
21,Context,Decision_MCB,1,-0.1247
21,Context,Decision_MCB,2,0.3932
21,Context,Decision_MCB,3,0.0185
22,Semantic,Probe_SCB,1,-0.1897
22,Semantic,Probe_SCB,2,0.106
